domain,english,tamil,hindi,french
Healthcare,The patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும்.,मरीज को दिन में दो बार दवा खानी पड़ती है।,Le patient doit prendre des médicaments deux fois par jour.
Healthcare,It is important that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து சாப்பிடுவது முக்கியம்.,जरूरी है कि मरीज को दिन में दो बार दवा खानी पड़े.,Il est important que le patient prenne ses médicaments deux fois par jour.
Healthcare,Remember that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும் என்பதை நினைவில் கொள்ளுங்கள்.,याद रखें कि मरीज को दिन में दो बार दवा लेनी है।,N'oubliez pas que le patient doit prendre ses médicaments deux fois par jour.
Healthcare,Please note that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும் என்பதை நினைவில் கொள்க.,कृपया ध्यान दें कि रोगी को दिन में दो बार दवा लेनी होगी।,Veuillez noter que le patient doit prendre ses médicaments deux fois par jour.
Healthcare,You should know that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும் என்பதை நீங்கள் அறிந்து கொள்ள வேண்டும்.,आपको पता होना चाहिए कि मरीज को दिन में दो बार दवा लेनी होती है।,Il faut savoir que le patient doit prendre des médicaments deux fois par jour.
Healthcare,"According to experts, the patient needs to take medicine twice a day.","நிபுணர்களின் கூற்றுப்படி, நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும்.",विशेषज्ञों के मुताबिक मरीज को दिन में दो बार दवा लेने की जरूरत होती है।,"Selon les experts, le patient doit prendre ses médicaments deux fois par jour."
Healthcare,"As a reminder, the patient needs to take medicine twice a day.","ஒரு நினைவூட்டலாக, நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து எடுக்க வேண்டும்.","एक अनुस्मारक के रूप में, रोगी को दिन में दो बार दवा लेने की आवश्यकता होती है।","Pour rappel, le patient doit prendre ses médicaments deux fois par jour."
Healthcare,It has been noted that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து உட்கொள்ள வேண்டும் என்று குறிப்பிடப்பட்டுள்ளது.,ऐसा देखा गया है कि मरीज को दिन में दो बार दवा लेनी पड़ती है।,Il a été noté que le patient doit prendre ses médicaments deux fois par jour.
Healthcare,Studies show that the patient needs to take medicine twice a day.,நோயாளி ஒரு நாளைக்கு இரண்டு முறை மருந்து உட்கொள்ள வேண்டும் என்று ஆய்வுகள் காட்டுகின்றன.,अध्ययनों से पता चलता है कि मरीज को दिन में दो बार दवा लेने की जरूरत होती है।,Des études montrent que le patient doit prendre des médicaments deux fois par jour.
Healthcare,Please wash your hands before eating food.,உணவு உண்பதற்கு முன் கைகளை கழுவவும்.,कृपया खाना खाने से पहले अपने हाथ धो लें।,Veuillez vous laver les mains avant de manger.
